sender	time
7 0.08
3 0.40
7 0.81
1 1.79
9 2.51
8 2.85
7 3.86
3 4.25
1 4.66
4 4.98
7 5.29
1 5.56
1 7.07
6 7.27
3 7.70
4 8.03
1 8.70
3 8.99
1 9.80
8 10.05
3 10.84
4 11.21
6 12.53
3 13.54
2 13.97
9 14.28
3 15.00
2 16.00
3 16.68
10 17.08
8 17.65
7 17.98
6 18.35
2 19.09
4 19.78
10 20.10
7 20.87
7 22.12
2 22.49
10 23.20
4 23.52
5 24.24
4 24.67
6 24.92
7 26.25
3 26.98
3 27.66
5 27.99
7 28.40
6 28.68
2 29.11
7 29.35
3 30.13
4 31.20
6 31.86
1 32.11
10 33.64
1 33.88
7 34.33
8 34.60
8 35.33
6 35.67
3 36.07
5 36.27
7 36.59
5 37.45
2 37.74
5 38.49
3 39.81
8 40.05
5 40.44
4 41.20
2 41.54
4 42.23
7 42.47
9 42.97
5 43.29
2 43.58
9 43.98
6 44.29
1 44.69
8 45.37
3 45.95
9 47.40
3 47.73
10 48.00
1 48.35
2 49.08
8 49.49
10 50.77
4 51.16
3 51.54
10 52.18
1 52.52
3 52.95
1 53.24
6 53.66
10 53.99
1 54.28
5 54.69
3 54.91
9 55.30
6 56.31
1 56.73
2 57.02
8 57.35
7 57.68
5 59.11
3 59.41
1 59.75
5 60.85
10 61.54
8 62.21
3 62.53
9 63.18
5 64.28
9 64.67
9 66.02
2 67.11
9 69.82
2 70.14
9 70.49
2 70.89
5 71.96
3 72.29
9 72.95
7 73.56
5 74.01
8 75.39
6 76.32
5 76.70
1 77.49
2 78.02
10 78.46
5 78.87
6 79.52
1 79.86
7 80.58
5 80.87
7 81.47
6 83.32
9 83.94
4 84.71
4 85.36
5 86.74
4 87.04
1 87.44
3 87.78
5 88.39
8 90.13
2 90.51
6 90.81
10 91.16
8 91.97
1 92.30
4 94.04
8 94.61
10 96.06
9 97.04
3 97.79
6 98.19
2 98.46
5 98.74
3 99.81
