date,sentence
1980,"Two United States officials who visited Hanoi for talks on missing servicemen learned something about Vietnamese tracing procedures but otherwise made little progress , sources close to the talks said here today ."
1980,"Two United States officials will visit Vietnam this week for talks on the fate of some 2,500 American servicemen missing and believed dead in that country , the State Department said today ."
1981,"After six hours of talks with Hanoi officials , four American veterans of the Vietnam War expressed hope today that the emotional issue of the 2,500 United States servicemen still missing in Southeast Asia could be resolved in the near future ."
1981,"Robert O. Muller , executive director of the Vietnam Veterans of America , the leader of the visiting group , urged the Vietnamese to invite the United States to send personnel to assist in the search for the missing Americans ."
1981,Such a step would ''substantially improve '' Vietnam 's relations with the United States and ease the ''logistical burdens '' that the Vietnamese claim to have in hunting for the remains of the servicemen .
1981,"Most of the 2,500 servicemen missing in Vietnam , Laos and Cambodia are believed dead , although anguished American families believe that some of them remain alive as prisoners of war ."
1981,"Reagan Administration officials believe that the Vietnamese Government has been uncooperative in the search for the missing Americans , although the Hanoi Government insists that there are no American prisoners of war alive in Vietnam , and all remains have been handed over to the American side ."
1981,"Vo Hoang , director of the Vietnamese office in charge of finding missing Americans , said that the ''logistical problems were enormous '' in terms of sending out helicopters and search parties to jungles to hunt for the remains ."
1981,Vietnam announced today that it had found the remains of three United States airmen missing since the Vietnam War .
1981,"Vu Hoang , director of the Vietnamese office in charge of finding missing American servicemen , said the remains of the three airmen would be turned over to American officials as soon as forensic specialists had completed identification ."
1981,Vietnam handed over three wooden coffins today with the remains of three American servicemen missing since the Vietnam War .
1981,Skeletal remains believed to be those of four United States servicemen who died in Laos arrived today from Thailand .
1981,"Coffin with remains of a U.S. serviceman killed in Vietnam arriving at Travis Air Force Base , Calif. , from Hawaii The State Department said yesterday that it had serious questions to ask the Vietnamese Government about the belated return of the bodies of three missing servicemen ."
1981,"Today , more than 14 years after he was listed as missing in action over North Vietnam , Comdr ."
1981,A representative of the National League of Families of American Prisoners and Missing in Southeast Asia today turned over to American officials skull fragments that were said to be the remains of three American airmen missing in action over Laos since the Vietnam War .
1981,The Defense Department said today that remains turned over to the United States authorities in Thailand in July and August were not those of eight American servicemen missing in Laos .
1982,"The United States Deputy Assistant Secretary of Defense , Richard L. Armitage , arrived here today en route to Hanoi on a trip designed to underline American concern over some 2,400 Americans still officially listed by the Pentagon as missing in action in Vietnam , Laos and Cambodia ."
1982,Foreign Minister Nguyen Co Thach of Vietnam said today that the United States was using the issue of missing servicemen as a ''political weapon '' and he threatened not to cooperate in the search for them .
1982,"A Reagan Administration delegation left Hanoi today after a two-day mission that apparently failed to gain Vietnamese cooperation in the search for 2,500 Americans listed by the Pentagon as missing in action in Indochina ."
1982,"Vietnam has agreed for the first time to allow United States technicians to visit and give training in the identification of human remains in the search for Americans missing since the Vietnam War , the State Department said today ."
1982,"Vietnam today turned over to United States officials in Hanoi the remains of five people believed to be missing Americans and material evidence on three other Americans listed as missing in action in the Vietnam War , the Pentagon said ."
1982,A dispatch from Hanoi on May 30 transposed the names of two American servicemen whose identification cards were given to a group of Vietnam veterans by the Vietnamese Government .
1982,"A correction yesterday , referring to a dispatch from Hanoi published on May 30 about missing American serv- icemen , incorrectly gave one name ."
1982,President Reagan 's national security adviser said today that the Administration did not rule out the possibility that some Americans still are being held captive in Southeast Asia nine years after United States troops were pulled out of the Vietnam War .
1982,"''We have no confirmed evidence , but we have enough information not to rule out the possibility that some of our unaccounted-for servicemen could still be held alive in Indochina , '' said William P. Clark ."
1982,"Four Americans looking for relatives missing in the Vietnam War said today that they had found the wreckage , in Laos , of an Air Force C-130 and the remains of its crew , convincing a Florida woman that her husband was dead ."
1982,"Ann Hart , of Pensacola , Fla. , part of the first group of private United States citizens to search for Americans missing in action , said in a telephone interview that she was convinced that her husband , Maj. Thomas T. Hart 2d of the Air Force , could not have survived the crash of the C-130 Hercules shot down Dec. 21 , 1972 ."
1982,"Vietnam will permit searches for 2,500 United States servicemen missing during the war in Indochina if Washington improves ties with Hanoi , four relatives of missing Americans said today ."
1982,Four Americans looking for traces of missing United States servicemen in Laos searched today through a cave used to hold prisoners of war during the Vietnam War .
1982,No sign of missing Americans was found .
1982,"One of the four Americans said the Laotian authorities , believing there is a remote chance some Americans missing for a decade may still be alive , would order searches of rural sites where United States aircraft crashed ."
1982,"The four Americans , all with relatives missing in southeast Asia and all members of the National League of Families , are searching for clues to the fate of some 2,500 Americans listed as missing in action ."
1982,"Ann Griffiths of Annandale , Va. , executive director of the Washington-based organization , said the group was told that two American prisoners died in 1968 in the northern Laotian cave explored today ."
1982,"Relatives of missing American servicemen held a ''very friendly '' two-hour meeting with Laotian officials today on stepped-up efforts to produce a final accounting of some 2,500 missing Americans in Indochina ."
1982,The meeting in the Laotian capital of Vientiane ended a two-week visit to Laos and Vietnam by a four-member delegation from a private Washington-based group searching for information on American soldiers missing in action .
1983,President Reagan today told families of American servicemen still missing in Southeast Asia that United States intelligence agencies were ''fully focused '' on the problem and that the goal of a full accounting was ''the highest national priority . ''
